datetime,Open,High,Low,Close,Volume
2019-01-02 00:00:00+00:00,17.13,17.58,16.95,17.52,194500.0
2019-01-03 00:00:00+00:00,17.46,17.85,17.46,17.79,135067.0
2019-01-04 00:00:00+00:00,17.88,18.15,17.79,18.12,133767.0
2019-01-07 00:00:00+00:00,18.18,18.57,18.059999,18.45,174600.0
2019-01-08 00:00:00+00:00,18.48,18.57,18.33,18.48,169233.0
2019-01-09 00:00:00+00:00,18.54,18.63,18.36,18.6,143967.0
2019-01-10 00:00:00+00:00,18.6,18.84,18.54,18.78,179433.0
2019-01-11 00:00:00+00:00,18.81,18.84,18.66,18.72,136700.0
2019-01-14 00:00:00+00:00,18.72,18.96,18.69,18.75,187333.0
2019-01-15 00:00:00+00:00,18.78,18.78,18.6,18.66,97500.0
2019-01-16 00:00:00+00:00,18.72,18.78,18.66,18.78,184567.0
2019-01-17 00:00:00+00:00,18.66,18.75,18.51,18.63,172867.0
2019-01-18 00:00:00+00:00,18.63,18.72,18.48,18.57,110867.0
2019-01-22 00:00:00+00:00,18.54,18.57,18.36,18.54,121267.0
2019-01-23 00:00:00+00:00,18.57,18.63,18.48,18.6,133667.0
2019-01-24 00:00:00+00:00,18.57,18.66,18.48,18.63,198333.0
2019-01-25 00:00:00+00:00,18.63,18.78,18.57,18.63,108733.0
2019-01-28 00:00:00+00:00,18.57,18.63,18.42,18.45,265633.0
2019-01-29 00:00:00+00:00,17.97,18.21,17.91,17.91,1912167.0
2019-01-30 00:00:00+00:00,18.0,18.24,17.97,18.0,743733.0
2019-01-31 00:00:00+00:00,18.12,18.15,17.97,18.059999,545867.0
2019-02-01 00:00:00+00:00,18.21,18.36,18.18,18.33,720733.0
2019-02-04 00:00:00+00:00,18.36,18.63,18.36,18.57,330067.0
2019-02-05 00:00:00+00:00,18.57,18.66,18.57,18.63,214433.0
2019-02-06 00:00:00+00:00,18.63,18.78,18.57,18.78,256100.0
2019-02-07 00:00:00+00:00,18.66,18.69,18.33,18.57,517500.0
2019-02-08 00:00:00+00:00,18.45,18.6,18.3,18.3,436967.0
2019-02-11 00:00:00+00:00,18.33,18.54,18.33,18.54,330300.0
2019-02-12 00:00:00+00:00,18.51,18.54,18.45,18.45,289467.0
2019-02-13 00:00:00+00:00,18.3,18.36,18.15,18.24,239367.0
2019-02-14 00:00:00+00:00,18.21,18.27,18.15,18.24,168933.0
2019-02-15 00:00:00+00:00,18.27,18.3,18.15,18.21,215467.0
2019-02-19 00:00:00+00:00,18.21,18.27,18.12,18.18,213833.0
2019-02-20 00:00:00+00:00,18.15,18.15,18.030001,18.09,156833.0
2019-02-21 00:00:00+00:00,18.09,18.15,18.030001,18.12,150700.0
2019-02-22 00:00:00+00:00,18.12,18.27,18.12,18.21,147600.0
2019-02-25 00:00:00+00:00,18.24,18.36,18.24,18.3,315100.0
2019-02-26 00:00:00+00:00,18.3,18.33,18.21,18.33,206633.0
2019-02-27 00:00:00+00:00,18.27,18.45,18.18,18.33,301067.0
2019-02-28 00:00:00+00:00,18.3,18.36,18.21,18.3,135967.0
2019-03-01 00:00:00+00:00,18.33,18.36,18.18,18.36,323400.0
2019-03-04 00:00:00+00:00,18.36,18.36,18.12,18.15,200267.0
2019-03-05 00:00:00+00:00,18.15,18.18,18.09,18.18,99133.0
2019-03-06 00:00:00+00:00,18.21,18.21,18.030001,18.059999,132833.0
2019-03-07 00:00:00+00:00,18.09,18.15,17.97,18.0,206767.0
2019-03-08 00:00:00+00:00,17.94,18.059999,17.94,18.0,254767.0
2019-03-11 00:00:00+00:00,18.09,18.18,18.0,18.15,172100.0
2019-03-12 00:00:00+00:00,18.18,18.24,18.09,18.12,89833.0
2019-03-13 00:00:00+00:00,18.12,18.21,18.059999,18.059999,251767.0
2019-03-14 00:00:00+00:00,18.0,18.15,18.0,18.059999,258333.0
2019-03-15 00:00:00+00:00,18.0,18.09,17.88,17.88,830900.0
2019-03-18 00:00:00+00:00,17.91,18.12,17.91,18.09,183600.0
2019-03-19 00:00:00+00:00,18.12,18.12,18.0,18.0,185333.0
2019-03-20 00:00:00+00:00,18.030001,18.15,17.97,17.97,239800.0
2019-03-21 00:00:00+00:00,17.91,18.059999,17.88,17.94,149067.0
2019-03-22 00:00:00+00:00,17.91,17.97,17.73,17.76,283000.0
2019-03-25 00:00:00+00:00,17.82,17.88,17.67,17.7,208600.0
2019-03-26 00:00:00+00:00,17.79,17.97,17.7,17.94,203900.0
2019-03-27 00:00:00+00:00,18.030001,18.09,17.91,18.030001,358600.0
2019-03-28 00:00:00+00:00,18.09,18.21,18.059999,18.18,452067.0
2019-03-29 00:00:00+00:00,18.24,18.27,18.12,18.27,386833.0
