datetime,Open,High,Low,Close,Volume
2019-01-01 00:00:00+00:00,1.3636,1.3646,1.3635,1.3639,0.0
2019-01-02 00:00:00+00:00,1.3637,1.3662,1.3564,1.3578,0.0
2019-01-03 00:00:00+00:00,1.3577,1.3657,1.3467,1.3489,0.0
2019-01-04 00:00:00+00:00,1.3488,1.3497,1.3371,1.3374,0.0
2019-01-07 00:00:00+00:00,1.3375,1.3391,1.3276,1.3298,0.0
2019-01-08 00:00:00+00:00,1.3297,1.3323,1.3265,1.3274,0.0
2019-01-09 00:00:00+00:00,1.3275,1.3281,1.3178,1.3209,0.0
2019-01-10 00:00:00+00:00,1.3209,1.326,1.3199,1.3236,0.0
2019-01-11 00:00:00+00:00,1.3236,1.328,1.3181,1.3266,0.0
2019-01-14 00:00:00+00:00,1.3262,1.3299,1.325,1.3286,0.0
2019-01-15 00:00:00+00:00,1.3282,1.3296,1.3224,1.3265,0.0
2019-01-16 00:00:00+00:00,1.3264,1.3286,1.3233,1.3255,0.0
2019-01-17 00:00:00+00:00,1.3254,1.332,1.3245,1.3277,0.0
2019-01-18 00:00:00+00:00,1.3278,1.3286,1.323,1.3259,0.0
2019-01-21 00:00:00+00:00,1.3248,1.3319,1.3248,1.3292,0.0
2019-01-22 00:00:00+00:00,1.3292,1.3359,1.3291,1.3354,0.0
2019-01-23 00:00:00+00:00,1.3355,1.3371,1.3303,1.334,0.0
2019-01-24 00:00:00+00:00,1.3341,1.3376,1.3328,1.3349,0.0
2019-01-25 00:00:00+00:00,1.3349,1.3364,1.3212,1.3219,0.0
2019-01-28 00:00:00+00:00,1.3218,1.3288,1.3201,1.3264,0.0
2019-01-29 00:00:00+00:00,1.3265,1.3288,1.324,1.3267,0.0
2019-01-30 00:00:00+00:00,1.327,1.3285,1.3116,1.3149,0.0
2019-01-31 00:00:00+00:00,1.315,1.3167,1.3118,1.3124,0.0
2019-02-01 00:00:00+00:00,1.3123,1.31605,1.3066,1.3098,0.0
2019-02-04 00:00:00+00:00,1.3112,1.31485,1.30845,1.311,0.0
2019-02-05 00:00:00+00:00,1.311,1.31555,1.31,1.3124,0.0
2019-02-06 00:00:00+00:00,1.3123,1.32195,1.3122,1.3212,0.0
2019-02-07 00:00:00+00:00,1.3213,1.33215,1.3203,1.3306,0.0
2019-02-08 00:00:00+00:00,1.3305,1.333,1.323,1.3276,0.0
2019-02-11 00:00:00+00:00,1.3281,1.33215,1.326,1.3304,0.0
2019-02-12 00:00:00+00:00,1.3303,1.33185,1.3231,1.3235,0.0
2019-02-13 00:00:00+00:00,1.3237,1.32645,1.3194,1.3252,0.0
2019-02-14 00:00:00+00:00,1.3252,1.33435,1.3227,1.3293,0.0
2019-02-15 00:00:00+00:00,1.3295,1.33165,1.3241,1.3243,0.0
2019-02-18 00:00:00+00:00,1.3241,1.325,1.3224,1.3239,0.0
2019-02-19 00:00:00+00:00,1.32435,1.32845,1.3203,1.3206,0.0
2019-02-20 00:00:00+00:00,1.32105,1.32215,1.3148,1.3174,0.0
2019-02-21 00:00:00+00:00,1.3176,1.32385,1.316,1.323,0.0
2019-02-22 00:00:00+00:00,1.3231,1.32455,1.3131,1.3136,0.0
2019-02-25 00:00:00+00:00,1.31435,1.31995,1.31115,1.3188,0.0
2019-02-26 00:00:00+00:00,1.3192,1.32385,1.3152,1.3166,0.0
2019-02-27 00:00:00+00:00,1.3168,1.31795,1.3116,1.3154,0.0
2019-02-28 00:00:00+00:00,1.31555,1.32095,1.3138,1.3166,0.0
2019-03-01 00:00:00+00:00,1.3172,1.33115,1.3128,1.3295,0.0
2019-03-04 00:00:00+00:00,1.32935,1.33415,1.32735,1.3302,0.0
2019-03-05 00:00:00+00:00,1.3303,1.33645,1.3299,1.3345,0.0
2019-03-06 00:00:00+00:00,1.3347,1.34585,1.3347,1.344,0.0
2019-03-07 00:00:00+00:00,1.3442,1.34715,1.3411,1.3453,0.0
2019-03-08 00:00:00+00:00,1.3452,1.34695,1.3389,1.3413,0.0
2019-03-11 00:00:00+00:00,1.3418,1.34425,1.339,1.3389,0.0
2019-03-12 00:00:00+00:00,1.3391,1.34195,1.335,1.3352,0.0
2019-03-13 00:00:00+00:00,1.3352,1.33735,1.3288,1.3304,0.0
2019-03-14 00:00:00+00:00,1.33,1.33515,1.3285,1.3333,0.0
2019-03-15 00:00:00+00:00,1.3335,1.33745,1.3287,1.3334,0.0
2019-03-18 00:00:00+00:00,1.33495,1.33705,1.3301,1.3334,0.0
2019-03-19 00:00:00+00:00,1.3333,1.33485,1.3248,1.3319,0.0
2019-03-20 00:00:00+00:00,1.3317,1.33515,1.3255,1.3304,0.0
2019-03-21 00:00:00+00:00,1.3305,1.34035,1.3272,1.3358,0.0
2019-03-22 00:00:00+00:00,1.3363,1.34345,1.335,1.3426,0.0
2019-03-25 00:00:00+00:00,1.34315,1.34465,1.3397,1.3401,0.0
2019-03-26 00:00:00+00:00,1.3404,1.34225,1.337,1.3381,0.0
2019-03-27 00:00:00+00:00,1.338,1.34415,1.3374,1.3409,0.0
2019-03-28 00:00:00+00:00,1.3409,1.34535,1.3394,1.3437,0.0
2019-03-29 00:00:00+00:00,1.3436,1.34465,1.3339,1.3344,0.0
2019-04-01 00:00:00+00:00,1.3354,1.33725,1.3297,1.3306,0.0
2019-04-02 00:00:00+00:00,1.3305,1.33765,1.3303,1.3337,0.0
2019-04-03 00:00:00+00:00,1.3337,1.33555,1.3294,1.3343,0.0
2019-04-04 00:00:00+00:00,1.33495,1.3374,1.3335,1.3358,0.0
2019-04-05 00:00:00+00:00,1.3356,1.3404,1.3346,1.3382,0.0
2019-04-08 00:00:00+00:00,1.3391,1.3394,1.3303,1.3313,0.0
2019-04-09 00:00:00+00:00,1.3312,1.33355,1.3279,1.3328,0.0
2019-04-10 00:00:00+00:00,1.333,1.33645,1.3304,1.332,0.0
2019-04-11 00:00:00+00:00,1.3318,1.33995,1.3311,1.3384,0.0
2019-04-12 00:00:00+00:00,1.33865,1.3392,1.331,1.332,0.0
2019-04-15 00:00:00+00:00,1.3339,1.3391,1.3295,1.3362,0.0
2019-04-16 00:00:00+00:00,1.33665,1.3404,1.3344,1.3349,0.0
2019-04-17 00:00:00+00:00,1.3347,1.33735,1.3272,1.3338,0.0
2019-04-18 00:00:00+00:00,1.3341,1.3401,1.3334,1.3374,0.0
2019-04-19 00:00:00+00:00,1.3374,1.3397,1.3364,1.339,0.0
2019-04-22 00:00:00+00:00,1.3388,1.3397,1.3333,1.3342,0.0
2019-04-23 00:00:00+00:00,1.3347,1.3445,1.3341,1.3422,0.0
2019-04-24 00:00:00+00:00,1.34235,1.35225,1.3416,1.3489,0.0
2019-04-25 00:00:00+00:00,1.3495,1.3518,1.348,1.3485,0.0
2019-04-26 00:00:00+00:00,1.34855,1.3499,1.3449,1.3453,0.0
2019-04-29 00:00:00+00:00,1.34565,1.3481,1.3438,1.3456,0.0
2019-04-30 00:00:00+00:00,1.3458,1.3482,1.3379,1.3386,0.0
2019-05-01 00:00:00+00:00,1.3388,1.3463,1.3375,1.3441,0.0
2019-05-02 00:00:00+00:00,1.3443,1.3478,1.3428,1.3472,0.0
2019-05-03 00:00:00+00:00,1.3476,1.3491,1.3404,1.342,0.0
2019-05-06 00:00:00+00:00,1.34335,1.3495,1.34285,1.3446,0.0
2019-05-07 00:00:00+00:00,1.3448,1.349,1.3408,1.3472,0.0
2019-05-08 00:00:00+00:00,1.3474,1.3488,1.3442,1.3477,0.0
2019-05-09 00:00:00+00:00,1.3481,1.35065,1.3457,1.3477,0.0
2019-05-10 00:00:00+00:00,1.3478,1.34855,1.3378,1.3412,0.0
2019-05-13 00:00:00+00:00,1.34205,1.3486,1.3415,1.3475,0.0
2019-05-14 00:00:00+00:00,1.3477,1.3489,1.3453,1.3459,0.0
2019-05-15 00:00:00+00:00,1.3462,1.34945,1.3425,1.3437,0.0
2019-05-16 00:00:00+00:00,1.3437,1.3471,1.3398,1.3457,0.0
2019-05-17 00:00:00+00:00,1.3458,1.3515,1.3432,1.3455,0.0
2019-05-20 00:00:00+00:00,1.34615,1.34655,1.3414,1.3426,0.0
2019-05-21 00:00:00+00:00,1.3428,1.3437,1.3394,1.3405,0.0
2019-05-22 00:00:00+00:00,1.3409,1.344,1.3355,1.3429,0.0
2019-05-23 00:00:00+00:00,1.3436,1.35035,1.3429,1.3472,0.0
2019-05-24 00:00:00+00:00,1.3474,1.3484,1.3428,1.3436,0.0
2019-05-27 00:00:00+00:00,1.3433,1.3454,1.3428,1.3441,0.0
2019-05-28 00:00:00+00:00,1.3443,1.35,1.3431,1.349,0.0
2019-05-29 00:00:00+00:00,1.3494,1.35475,1.3479,1.3519,0.0
2019-05-30 00:00:00+00:00,1.352,1.3522,1.3483,1.3498,0.0
2019-05-31 00:00:00+00:00,1.3501,1.3566,1.34905,1.3512,0.0
2019-06-03 00:00:00+00:00,1.35215,1.35295,1.3433,1.3433,0.0
2019-06-04 00:00:00+00:00,1.3439,1.3455,1.3379,1.339,0.0
2019-06-05 00:00:00+00:00,1.3394,1.34305,1.3361,1.3412,0.0
2019-06-06 00:00:00+00:00,1.3413,1.3432,1.3357,1.3361,0.0
2019-06-07 00:00:00+00:00,1.3359,1.33695,1.326,1.3265,0.0
2019-06-10 00:00:00+00:00,1.32485,1.3282,1.32245,1.3265,0.0
2019-06-11 00:00:00+00:00,1.3269,1.33095,1.3248,1.3279,0.0
2019-06-12 00:00:00+00:00,1.3284,1.3346,1.3271,1.3341,0.0
2019-06-13 00:00:00+00:00,1.3343,1.3345,1.3298,1.3324,0.0
