datetime,Open,High,Low,Close,Volume
2019-01-01 00:00:00+00:00,109.57,109.79,109.57,109.72,0.0
2019-01-02 00:00:00+00:00,109.67,109.73,108.71,108.88,0.0
2019-01-03 00:00:00+00:00,108.89,108.92,104.97,107.67,0.0
2019-01-04 00:00:00+00:00,107.67,108.59,107.51,108.53,0.0
2019-01-07 00:00:00+00:00,108.55,108.75,108.029999,108.72,0.0
2019-01-08 00:00:00+00:00,108.72,109.089996,108.44,108.75,0.0
2019-01-09 00:00:00+00:00,108.75,109.0,107.97,108.17,0.0
2019-01-10 00:00:00+00:00,108.16,108.52,107.77,108.42,0.0
2019-01-11 00:00:00+00:00,108.43,108.6,108.14,108.55,0.0
2019-01-14 00:00:00+00:00,108.47,108.56,107.97,108.17,0.0
2019-01-15 00:00:00+00:00,108.16,108.77,108.13,108.67,0.0
2019-01-16 00:00:00+00:00,108.69,109.2,108.38,109.089996,0.0
2019-01-17 00:00:00+00:00,109.089996,109.4,108.68,109.24,0.0
2019-01-18 00:00:00+00:00,109.27,109.89,109.059998,109.78,0.0
2019-01-21 00:00:00+00:00,109.75,109.77,109.47,109.67,0.0
2019-01-22 00:00:00+00:00,109.67,109.7,109.14,109.38,0.0
2019-01-23 00:00:00+00:00,109.37,110.0,109.32,109.6,0.0
2019-01-24 00:00:00+00:00,109.58,109.81,109.42,109.64,0.0
2019-01-25 00:00:00+00:00,109.64,109.97,109.45,109.55,0.0
2019-01-28 00:00:00+00:00,109.53,109.61,109.16,109.36,0.0
2019-01-29 00:00:00+00:00,109.36,109.55,109.14,109.39,0.0
2019-01-30 00:00:00+00:00,109.39,109.75,108.81,109.029999,0.0
2019-01-31 00:00:00+00:00,109.040001,109.080002,108.49,108.88,0.0
2019-02-01 00:00:00+00:00,108.89,109.58,108.72,109.5,0.0
2019-02-04 00:00:00+00:00,109.5,110.16,109.43,109.89,0.0
2019-02-05 00:00:00+00:00,109.89,110.029999,109.78,109.97,0.0
2019-02-06 00:00:00+00:00,109.97,110.059998,109.55,109.97,0.0
2019-02-07 00:00:00+00:00,109.97,110.089996,109.61,109.81,0.0
2019-02-08 00:00:00+00:00,109.81,109.91,109.64,109.73,0.0
2019-02-11 00:00:00+00:00,109.83,110.47,109.69,110.38,0.0
2019-02-12 00:00:00+00:00,110.36,110.64,110.33,110.48,0.0
2019-02-13 00:00:00+00:00,110.5,111.059998,110.42,111.0,0.0
2019-02-14 00:00:00+00:00,111.010002,111.13,110.45,110.48,0.0
2019-02-15 00:00:00+00:00,110.48,110.66,110.25,110.5,0.0
2019-02-18 00:00:00+00:00,110.45,110.67,110.39,110.62,0.0
2019-02-19 00:00:00+00:00,110.61,110.83,110.45,110.62,0.0
2019-02-20 00:00:00+00:00,110.63,110.95,110.52,110.86,0.0
2019-02-21 00:00:00+00:00,110.86,110.89,110.58,110.7,0.0
2019-02-22 00:00:00+00:00,110.69,110.92,110.56,110.69,0.0
2019-02-25 00:00:00+00:00,110.67,111.23,110.56,111.059998,0.0
2019-02-26 00:00:00+00:00,111.059998,111.089996,110.42,110.58,0.0
2019-02-27 00:00:00+00:00,110.58,111.080002,110.36,111.0,0.0
2019-02-28 00:00:00+00:00,111.0,111.5,110.66,111.39,0.0
2019-03-01 00:00:00+00:00,111.39,112.080002,111.33,111.92,0.0
2019-03-04 00:00:00+00:00,111.77,112.019997,111.64,111.75,0.0
2019-03-05 00:00:00+00:00,111.72,112.12,111.7,111.89,0.0
2019-03-06 00:00:00+00:00,111.89,111.94,111.61,111.77,0.0
2019-03-07 00:00:00+00:00,111.77,111.86,111.48,111.59,0.0
2019-03-08 00:00:00+00:00,111.58,111.66,110.78,111.17,0.0
2019-03-11 00:00:00+00:00,111.14,111.31,110.88,111.2,0.0
2019-03-12 00:00:00+00:00,111.2,111.47,111.11,111.36,0.0
2019-03-13 00:00:00+00:00,111.36,111.47,111.0,111.17,0.0
2019-03-14 00:00:00+00:00,111.16,111.84,111.14,111.72,0.0
2019-03-15 00:00:00+00:00,111.7,111.91,111.39,111.47,0.0
2019-03-18 00:00:00+00:00,111.45,111.62,111.28,111.42,0.0
2019-03-19 00:00:00+00:00,111.44,111.48,111.16,111.39,0.0
2019-03-20 00:00:00+00:00,111.41,111.69,110.53,110.69,0.0
2019-03-21 00:00:00+00:00,110.72,110.97,110.3,110.81,0.0
2019-03-22 00:00:00+00:00,110.81,110.91,109.75,109.92,0.0
2019-03-25 00:00:00+00:00,109.86,110.25,109.72,109.97,0.0
2019-03-26 00:00:00+00:00,109.97,110.69,109.94,110.64,0.0
2019-03-27 00:00:00+00:00,110.64,110.7,110.22,110.52,0.0
2019-03-28 00:00:00+00:00,110.52,110.83,110.029999,110.64,0.0
2019-03-29 00:00:00+00:00,110.625,110.955,110.535,110.84,0.0
2019-04-01 00:00:00+00:00,110.805,111.45,110.805,111.34,0.0
2019-04-02 00:00:00+00:00,111.345,111.465,111.25,111.31,0.0
2019-04-03 00:00:00+00:00,111.325,111.585,111.2,111.47,0.0
2019-04-04 00:00:00+00:00,111.485,111.69,111.33,111.65,0.0
2019-04-05 00:00:00+00:00,111.655,111.83,111.59,111.73,0.0
2019-04-08 00:00:00+00:00,111.715,111.795,111.28,111.47,0.0
2019-04-09 00:00:00+00:00,111.48,111.585,110.975,111.12,0.0
2019-04-10 00:00:00+00:00,111.135,111.285,110.84,111.0,0.0
2019-04-11 00:00:00+00:00,111.014999,111.705,110.9,111.65,0.0
2019-04-12 00:00:00+00:00,111.665,112.105,111.58,112.019997,0.0
2019-04-15 00:00:00+00:00,112.0049973,112.105,111.88,112.029999,0.0
2019-04-16 00:00:00+00:00,112.035004,112.065002,111.845,111.99,0.0
2019-04-17 00:00:00+00:00,112.014999,112.175,111.92,112.050003,0.0
2019-04-18 00:00:00+00:00,112.055,112.084999,111.765,111.96,0.0
2019-04-19 00:00:00+00:00,111.975,112.014999,111.885,111.91,0.0
2019-04-22 00:00:00+00:00,111.925,112.0,111.85,111.93,0.0
2019-04-23 00:00:00+00:00,111.945,112.044998,111.65,111.86,0.0
2019-04-24 00:00:00+00:00,111.865,112.41,111.68,112.17,0.0
2019-04-25 00:00:00+00:00,112.185,112.245,111.385,111.62,0.0
2019-04-26 00:00:00+00:00,111.635,112.025002,111.425,111.58,0.0
2019-04-29 00:00:00+00:00,111.595,111.905,111.525,111.63,0.0
2019-04-30 00:00:00+00:00,111.655,111.705,111.23,111.41,0.0
2019-05-01 00:00:00+00:00,111.435,111.625,111.044998,111.37,0.0
2019-05-02 00:00:00+00:00,111.385,111.675,111.35,111.5,0.0
2019-05-03 00:00:00+00:00,111.515,111.695,111.059998,111.089996,0.0
2019-05-06 00:00:00+00:00,110.615,110.989,110.28,110.76,0.0
2019-05-07 00:00:00+00:00,110.765,110.865,110.165,110.24,0.0
2019-05-08 00:00:00+00:00,110.255,110.315,109.9,110.099998,0.0
2019-05-09 00:00:00+00:00,110.099998,110.135,109.465,109.75,0.0
2019-05-10 00:00:00+00:00,109.76,110.055,109.47,109.94,0.0
2019-05-13 00:00:00+00:00,109.765,109.86,109.019997,109.3,0.0
2019-05-14 00:00:00+00:00,109.295,109.785,109.14,109.59,0.0
2019-05-15 00:00:00+00:00,109.615,109.715,109.15,109.58,0.0
2019-05-16 00:00:00+00:00,109.605,109.975,109.33,109.84,0.0
2019-05-17 00:00:00+00:00,109.855,110.19,109.495,110.07,0.0
2019-05-20 00:00:00+00:00,110.125,110.325,109.805,110.050003,0.0
2019-05-21 00:00:00+00:00,110.065002,110.685,110.014999,110.49,0.0
2019-05-22 00:00:00+00:00,110.49,110.635,110.24,110.34,0.0
2019-05-23 00:00:00+00:00,110.355,110.375,109.455,109.59,0.0
2019-05-24 00:00:00+00:00,109.61,109.75,109.27,109.29,0.0
2019-05-27 00:00:00+00:00,109.315,109.595,109.28,109.5,0.0
2019-05-28 00:00:00+00:00,109.505,109.635,109.21,109.36,0.0
2019-05-29 00:00:00+00:00,109.375,109.705,109.145,109.58,0.0
2019-05-30 00:00:00+00:00,109.595,109.935,109.475,109.6,0.0
2019-05-31 00:00:00+00:00,109.625,109.64,108.27,108.26,0.0
2019-06-03 00:00:00+00:00,108.375,108.455,107.88,108.059998,0.0
2019-06-04 00:00:00+00:00,108.074997,108.365,107.84,108.14,0.0
2019-06-05 00:00:00+00:00,108.145,108.495,107.81,108.45,0.0
2019-06-06 00:00:00+00:00,108.465,108.575,108.019997,108.4,0.0
2019-06-07 00:00:00+00:00,108.415,108.62,107.88,108.18,0.0
2019-06-10 00:00:00+00:00,108.555,108.725,108.325,108.43,0.0
2019-06-11 00:00:00+00:00,108.445,108.81,108.35,108.5,0.0
2019-06-12 00:00:00+00:00,108.52,108.585,108.21,108.49,0.0
2019-06-13 00:00:00+00:00,108.505,108.54,108.16,108.37,0.0
2019-06-14 00:00:00+00:00,108.375,108.59,108.155,108.55,0.0
2019-06-17 00:00:00+00:00,108.435,108.735,108.415,108.55,0.0
2019-06-18 00:00:00+00:00,108.545,108.68,108.059998,108.44,0.0
2019-06-19 00:00:00+00:00,108.455,108.62,107.9,108.089996,0.0
2019-06-20 00:00:00+00:00,108.095001,108.145,107.215,107.29,0.0
2019-06-21 00:00:00+00:00,107.315,107.745,107.050003,107.3,0.0
2019-06-24 00:00:00+00:00,107.395,107.54,107.245,107.28,0.0
2019-06-25 00:00:00+00:00,107.295,107.415,106.78,107.17,0.0
2019-06-26 00:00:00+00:00,107.195,107.855,107.095001,107.77,0.0
2019-06-27 00:00:00+00:00,107.795,108.165,107.645,107.78,0.0
2019-06-28 00:00:00+00:00,107.795,107.945,107.56,107.88,0.0
2019-07-01 00:00:00+00:00,108.105,108.545,108.099998,108.43,0.0
2019-07-02 00:00:00+00:00,108.435,108.48,107.76,107.88,0.0
2019-07-03 00:00:00+00:00,107.895,107.925,107.53,107.82,0.0
2019-07-04 00:00:00+00:00,107.795,107.85,107.705,107.79,0.0
2019-07-05 00:00:00+00:00,107.81,108.64,107.78,108.45,0.0
2019-07-08 00:00:00+00:00,108.445,108.81,108.28,108.71,0.0
2019-07-09 00:00:00+00:00,108.725,108.975,108.675,108.84,0.0
2019-07-10 00:00:00+00:00,108.855,108.995,108.345,108.46,0.0
2019-07-11 00:00:00+00:00,108.465,108.535,107.86,108.48,0.0
2019-07-12 00:00:00+00:00,108.485,108.61,107.795,107.89,0.0
2019-07-15 00:00:00+00:00,107.875,108.115,107.795,107.9,0.0
2019-07-16 00:00:00+00:00,107.915,108.38,107.82,108.22,0.0
2019-07-17 00:00:00+00:00,108.245,108.335,107.94,107.94,0.0
2019-07-18 00:00:00+00:00,107.945,108.025002,107.21,107.29,0.0
2019-07-19 00:00:00+00:00,107.295,107.975,107.215,107.7,0.0
2019-07-22 00:00:00+00:00,107.785,108.074997,107.7,107.86,0.0
2019-07-23 00:00:00+00:00,107.845,108.29,107.825,108.21,0.0
2019-07-24 00:00:00+00:00,108.215,108.28,107.935,108.17,0.0
2019-07-25 00:00:00+00:00,108.185,108.76,108.035004,108.62,0.0
2019-07-26 00:00:00+00:00,108.635,108.835,108.56,108.66,0.0
2019-07-29 00:00:00+00:00,108.695,108.905,108.42,108.77,0.0
2019-07-30 00:00:00+00:00,108.785,108.95,108.45,108.59,0.0
2019-07-31 00:00:00+00:00,108.615,109.0049973,108.49,108.74,0.0
2019-08-01 00:00:00+00:00,108.795,109.32,107.26,107.33,0.0
2019-08-02 00:00:00+00:00,107.345,107.57,106.505,106.58,0.0
2019-08-05 00:00:00+00:00,106.585,106.685,105.785,105.94,0.0
2019-08-06 00:00:00+00:00,105.945,107.084999,105.52,106.47,0.0
2019-08-07 00:00:00+00:00,106.485,106.485,105.495,106.26,0.0
2019-08-08 00:00:00+00:00,106.275,106.305,105.895,106.059998,0.0
2019-08-09 00:00:00+00:00,106.074997,106.115,105.26,105.66,0.0
2019-08-12 00:00:00+00:00,105.575,105.705,105.044998,105.29,0.0
2019-08-13 00:00:00+00:00,105.305,106.98,105.065002,106.73,0.0
2019-08-14 00:00:00+00:00,106.745,106.78,105.655,105.89,0.0
2019-08-15 00:00:00+00:00,105.915,106.785,105.7,106.11,0.0
2019-08-16 00:00:00+00:00,106.125,106.5,106.025002,106.36,0.0
2019-08-19 00:00:00+00:00,106.335,106.705,106.24,106.62,0.0
2019-08-20 00:00:00+00:00,106.635,106.695,106.175,106.22,0.0
2019-08-21 00:00:00+00:00,106.225,106.65,106.22,106.61,0.0
2019-08-22 00:00:00+00:00,106.615,106.655,106.25,106.42,0.0
2019-08-23 00:00:00+00:00,106.435,106.745,105.255,105.39,0.0
2019-08-26 00:00:00+00:00,105.135,106.405,104.455,106.12,0.0
2019-08-27 00:00:00+00:00,106.155,106.175,105.59,105.72,0.0
2019-08-28 00:00:00+00:00,105.745,106.23,105.65,106.11,0.0
2019-08-29 00:00:00+00:00,106.125,106.685,105.83,106.5,0.0
2019-08-30 00:00:00+00:00,106.505,106.55,106.105,106.29,0.0
2019-09-02 00:00:00+00:00,106.245,106.415,105.93,106.21,0.0
2019-09-03 00:00:00+00:00,106.215,106.39,105.735,105.92,0.0
2019-09-04 00:00:00+00:00,105.935,106.445,105.83,106.38,0.0
2019-09-05 00:00:00+00:00,106.365,107.23,106.32,106.92,0.0
2019-09-06 00:00:00+00:00,106.955,107.105,106.625,106.9,0.0
2019-09-09 00:00:00+00:00,106.815,107.275,106.765,107.23,0.0
2019-09-10 00:00:00+00:00,107.245,107.59,107.18,107.53,0.0
2019-09-11 00:00:00+00:00,107.545,107.865,107.5,107.81,0.0
2019-09-12 00:00:00+00:00,107.835,108.19,107.515,108.089996,0.0
2019-09-13 00:00:00+00:00,108.095001,108.27,107.915,108.07,0.0
2019-09-16 00:00:00+00:00,107.655,108.17,107.475,108.12,0.0
2019-09-17 00:00:00+00:00,108.115,108.375,108.019997,108.12,0.0
2019-09-18 00:00:00+00:00,108.125,108.48,108.080002,108.44,0.0
2019-09-19 00:00:00+00:00,108.455,108.475,107.785,108.0,0.0
2019-09-20 00:00:00+00:00,108.014999,108.089996,107.525,107.55,0.0
2019-09-23 00:00:00+00:00,107.525,107.775,107.31,107.54,0.0
2019-09-24 00:00:00+00:00,107.545,107.795,106.96,107.050003,0.0
2019-09-25 00:00:00+00:00,107.065002,107.89,106.995,107.76,0.0
2019-09-26 00:00:00+00:00,107.775,107.965,107.425,107.82,0.0
2019-09-27 00:00:00+00:00,107.83,108.19,107.655,107.92,0.0
2019-09-30 00:00:00+00:00,107.915,108.185,107.74,108.059998,0.0
2019-10-01 00:00:00+00:00,108.080002,108.47,107.625,107.74,0.0
2019-10-02 00:00:00+00:00,107.735,107.9,107.044998,107.17,0.0
2019-10-03 00:00:00+00:00,107.18,107.305,106.48,106.9,0.0
2019-10-04 00:00:00+00:00,106.915,107.135,106.585,106.93,0.0
2019-10-07 00:00:00+00:00,106.975,107.465,106.565,107.28,0.0
2019-10-08 00:00:00+00:00,107.295,107.45,106.805,107.07,0.0
2019-10-09 00:00:00+00:00,107.084999,107.63,106.93,107.46,0.0
2019-10-10 00:00:00+00:00,107.475,108.019997,107.029999,107.96,0.0
2019-10-11 00:00:00+00:00,107.985,108.62,107.845,108.4,0.0
2019-10-14 00:00:00+00:00,108.345,108.53,108.035004,108.38,0.0
2019-10-15 00:00:00+00:00,108.425,108.9,108.15,108.84,0.0
2019-10-16 00:00:00+00:00,108.86,108.875,108.565,108.75,0.0
2019-10-17 00:00:00+00:00,108.765,108.945,108.465,108.65,0.0
2019-10-18 00:00:00+00:00,108.665,108.735,108.385,108.42,0.0
2019-10-21 00:00:00+00:00,108.475,108.67,108.295,108.59,0.0
2019-10-22 00:00:00+00:00,108.615,108.735,108.44,108.47,0.0
2019-10-23 00:00:00+00:00,108.485,108.71,108.245,108.68,0.0
2019-10-24 00:00:00+00:00,108.685,108.76,108.495,108.61,0.0
2019-10-25 00:00:00+00:00,108.625,108.78,108.505,108.64,0.0
2019-10-28 00:00:00+00:00,108.665,109.044998,108.655,108.94,0.0
2019-10-29 00:00:00+00:00,108.955,109.074997,108.765,108.87,0.0
2019-10-30 00:00:00+00:00,108.885,109.295,108.715,108.83,0.0
2019-10-31 00:00:00+00:00,108.835,108.905,107.925,108.019997,0.0
2019-11-01 00:00:00+00:00,108.065002,108.33,107.885,108.17,0.0
2019-11-04 00:00:00+00:00,108.185,108.655,108.175,108.56,0.0
2019-11-05 00:00:00+00:00,108.575,109.25,108.555,109.15,0.0
2019-11-06 00:00:00+00:00,109.155,109.195,108.815,108.96,0.0
2019-11-07 00:00:00+00:00,108.975,109.49,108.65,109.27,0.0
2019-11-08 00:00:00+00:00,109.285,109.49,109.074997,109.27,0.0
2019-11-11 00:00:00+00:00,109.195,109.26,108.895,109.040001,0.0
2019-11-12 00:00:00+00:00,109.065002,109.3,108.925,109.0,0.0
2019-11-13 00:00:00+00:00,108.995,109.155,108.65,108.81,0.0
2019-11-14 00:00:00+00:00,108.835,108.87,108.24,108.39,0.0
2019-11-15 00:00:00+00:00,108.405,108.86,108.37,108.73,0.0
2019-11-18 00:00:00+00:00,108.825,109.074997,108.51,108.66,0.0
2019-11-19 00:00:00+00:00,108.675,108.855,108.45,108.53,0.0
2019-11-20 00:00:00+00:00,108.54,108.75,108.345,108.6,0.0
2019-11-21 00:00:00+00:00,108.61,108.705,108.28,108.63,0.0
2019-11-22 00:00:00+00:00,108.64,108.735,108.47,108.64,0.0
2019-11-25 00:00:00+00:00,108.705,108.98,108.635,108.9,0.0
2019-11-26 00:00:00+00:00,108.925,109.205,108.87,109.029999,0.0
2019-11-27 00:00:00+00:00,109.035004,109.61,109.0049973,109.55,0.0
2019-11-28 00:00:00+00:00,109.545,109.58,109.33,109.5,0.0
2019-11-29 00:00:00+00:00,109.515,109.675,109.395,109.51,0.0
2019-12-02 00:00:00+00:00,109.535,109.735,108.925,108.98,0.0
2019-12-03 00:00:00+00:00,108.965,109.21,108.48,108.62,0.0
2019-12-04 00:00:00+00:00,108.635,108.97,108.425,108.85,0.0
2019-12-05 00:00:00+00:00,108.865,109.0049973,108.65,108.75,0.0
2019-12-06 00:00:00+00:00,108.76,108.92,108.52,108.59,0.0
2019-12-09 00:00:00+00:00,108.685,108.685,108.425,108.55,0.0
2019-12-10 00:00:00+00:00,108.56,108.77,108.515,108.7,0.0
2019-12-11 00:00:00+00:00,108.725,108.855,108.465,108.54,0.0
2019-12-12 00:00:00+00:00,108.56,109.45,108.455,109.29,0.0
2019-12-13 00:00:00+00:00,109.31,109.71,108.916,109.36,0.0
2019-12-16 00:00:00+00:00,109.375,109.68,109.245,109.49,0.0
2019-12-17 00:00:00+00:00,109.535,109.645,109.44,109.47,0.0
2019-12-18 00:00:00+00:00,109.505,109.635,109.395,109.53,0.0
2019-12-19 00:00:00+00:00,109.55,109.685,109.18,109.37,0.0
2019-12-20 00:00:00+00:00,109.365,109.53,109.255,109.44,0.0
2019-12-23 00:00:00+00:00,109.405,109.545,109.335,109.39,0.0
2019-12-24 00:00:00+00:00,109.395,109.445,109.325,109.39,0.0
2019-12-25 00:00:00+00:00,109.395,109.435,109.28,109.35,0.0
2019-12-26 00:00:00+00:00,109.345,109.69,109.315,109.63,0.0
2019-12-27 00:00:00+00:00,109.595,109.64,109.39,109.41,0.0
2019-12-30 00:00:00+00:00,109.475,109.51,108.75,108.86,0.0
2019-12-31 00:00:00+00:00,108.875,108.89,108.47,108.61,0.0
2020-01-01 00:00:00+00:00,108.625,108.755,108.605,108.7,0.0
2020-01-02 00:00:00+00:00,108.755,108.87,108.21,108.57,0.0
2020-01-03 00:00:00+00:00,108.565,108.635,107.83,108.080002,0.0
2020-01-06 00:00:00+00:00,108.0049973,108.51,107.765,108.36,0.0
2020-01-07 00:00:00+00:00,108.37,108.635,108.26,108.42,0.0
2020-01-08 00:00:00+00:00,108.415,109.25,107.645,109.12,0.0
2020-01-09 00:00:00+00:00,109.12,109.585,109.010002,109.51,0.0
2020-01-10 00:00:00+00:00,109.515,109.7,109.43,109.46,0.0
2020-01-13 00:00:00+00:00,109.485,109.95,109.445,109.93,0.0
2020-01-14 00:00:00+00:00,109.94,110.215,109.855,109.97,0.0
2020-01-15 00:00:00+00:00,109.99,110.019997,109.785,109.88,0.0
2020-01-16 00:00:00+00:00,109.895,110.19,109.85,110.14,0.0
2020-01-17 00:00:00+00:00,110.135,110.29,110.044998,110.14,0.0
2020-01-20 00:00:00+00:00,110.155,110.225,110.035004,110.18,0.0
2020-01-21 00:00:00+00:00,110.185,110.225,109.76,109.86,0.0
2020-01-22 00:00:00+00:00,109.865,110.099998,109.82,109.83,0.0
2020-01-23 00:00:00+00:00,109.84,109.87,109.265,109.48,0.0
2020-01-24 00:00:00+00:00,109.495,109.66,109.17,109.27,0.0
2020-01-27 00:00:00+00:00,109.050003,109.145,108.73,108.89,0.0
2020-01-28 00:00:00+00:00,108.895,109.205,108.755,109.13,0.0
2020-01-29 00:00:00+00:00,109.145,109.27,108.975,108.99,0.0
2020-01-30 00:00:00+00:00,109.014999,109.07,108.585,108.95,0.0
2020-01-31 00:00:00+00:00,108.965,109.14,108.315,108.38,0.0
2020-02-03 00:00:00+00:00,108.41,108.81,108.315,108.67,0.0
2020-02-04 00:00:00+00:00,108.685,109.55,108.55,109.51,0.0
2020-02-05 00:00:00+00:00,109.525,109.855,109.3,109.8,0.0
2020-02-06 00:00:00+00:00,109.825,110.0049973,109.72,109.99,0.0
2020-02-07 00:00:00+00:00,109.995,110.029999,109.53,109.72,0.0
2020-02-10 00:00:00+00:00,109.845,109.88,109.56,109.74,0.0
2020-02-11 00:00:00+00:00,109.775,109.97,109.725,109.77,0.0
2020-02-12 00:00:00+00:00,109.785,110.145,109.77,110.080002,0.0
2020-02-13 00:00:00+00:00,110.105,110.105,109.615,109.81,0.0
2020-02-14 00:00:00+00:00,109.815,109.91,109.695,109.74,0.0
2020-02-17 00:00:00+00:00,109.775,109.975,109.72,109.88,0.0
2020-02-18 00:00:00+00:00,109.88,109.95,109.655,109.86,0.0
2020-02-19 00:00:00+00:00,109.87,111.595,109.845,111.35,0.0
2020-02-20 00:00:00+00:00,111.37,112.225,111.11,112.11,0.0
